"ID","model","weight","p","rho"
16346.0,"GDFMX",8.101095274096684e-06,16.2930812064802,0.2799999999999999
16346.0,"GDFMX",8.101095274096684e-06,18.3499586213171,0.29
16346.0,"GDFMX",8.101095274096684e-06,20.5753224815511,0.3
16346.0,"GDFMX",8.101095274096684e-06,22.9744469169386,0.31
16346.0,"GDFMX",8.101095274096684e-06,25.5520971653772,0.32
16346.0,"GDFMX",8.101095274096684e-06,28.3124868038186,0.3299999999999999
16346.0,"GDFMX",8.101095274096684e-06,31.2592465290998,0.3399999999999999
16346.0,"GDFMX",8.101095274096684e-06,34.3954055822411,0.35
16346.0,"GDFMX",8.101095274096684e-06,37.723386228352595,0.36
16346.0,"GDFMX",8.101095274096684e-06,41.245011036986504,0.37
16346.0,"GDFMX",8.101095274096684e-06,44.9615221054133,0.38
16346.0,"GDFMX",8.101095274096684e-06,48.8736108705366,0.39
16346.0,"GDFMX",8.101095274096684e-06,52.9814567904858,0.3999999999999999
16346.0,"GDFMX",8.101095274096684e-06,57.2847729553913,0.41
16346.0,"GDFMX",8.101095274096684e-06,61.7828566048886,0.42
16346.0,"GDFMX",8.101095274096684e-06,66.47464257216299,0.43
16346.0,"GDFMX",8.101095274096684e-06,71.3587578173432,0.44
16346.0,"GDFMX",8.101095274096684e-06,76.4335754292836,0.45
16346.0,"GDFMX",8.101095274096684e-06,81.69726673627791,0.4599999999999999
16346.0,"GDFMX",8.101095274096684e-06,87.1478504474702,0.47
16346.0,"GDFMX",8.101095274096684e-06,92.78323802636,0.48
16346.0,"GDFMX",8.101095274096684e-06,98.60127475968291,0.49
16346.0,"GDFMX",8.101095274096684e-06,104.59977621804869,0.5
16346.0,"GDFMX",8.101095274096684e-06,110.7765600029624,0.51
16346.0,"GDFMX",8.101095274096684e-06,117.12947283582551,0.52
16346.0,"GDFMX",8.101095274096684e-06,123.6564131690598,0.53
16346.0,"GDFMX",8.101095274096684e-06,130.35534959035138,0.54
16346.0,"GDFMX",8.101095274096684e-06,137.22433535224778,0.55
16346.0,"GDFMX",8.101095274096684e-06,144.2615193955907,0.56
16346.0,"GDFMX",8.101095274096684e-06,151.46515425123812,0.5700000000000001
16346.0,"GDFMX",8.101095274096684e-06,158.8336012046924,0.5800000000000001
16346.0,"GDFMX",8.101095274096684e-06,166.3653330966439,0.5900000000000001
16346.0,"GDFMX",8.101095274096684e-06,174.058935112464,0.6000000000000001
16346.0,"GDFMX",8.101095274096684e-06,181.9131038882468,0.6100000000000001
16346.0,"GDFMX",8.101095274096684e-06,189.9266452323706,0.62
16346.0,"GDFMX",8.101095274096684e-06,198.0984707315253,0.63
16346.0,"GDFMX",8.101095274096684e-06,206.4275934800457,0.64
16346.0,"GDFMX",8.101095274096684e-06,214.9131231421868,0.65
16346.0,"GDFMX",8.101095274096684e-06,223.5542605293074,0.66
16346.0,"GDFMX",8.101095274096684e-06,232.35029184821877,0.67
16346.0,"GDFMX",8.101095274096684e-06,241.3005827534323,0.68
16346.0,"GDFMX",8.101095274096684e-06,250.4045723147939,0.6900000000000001
16346.0,"GDFMX",8.101095274096684e-06,259.6617669930122,0.7000000000000001
16346.0,"GDFMX",8.101095274096684e-06,269.0717346988019,0.7100000000000001
16346.0,"GDFMX",8.101095274096684e-06,278.6340989966391,0.7200000000000001
16346.0,"GDFMX",8.101095274096684e-06,288.3485335013224,0.7300000000000001
16346.0,"GDFMX",8.101095274096684e-06,298.21475650447246,0.7400000000000001
16346.0,"GDFMX",8.101095274096684e-06,308.2325258586318,0.75
16346.0,"GDFMX",8.101095274096684e-06,318.4016341385701,0.76
16346.0,"GDFMX",8.101095274096684e-06,328.7219040925966,0.77
16346.0,"GDFMX",8.101095274096684e-06,339.1931843909819,0.78
16346.0,"GDFMX",8.101095274096684e-06,349.81534567387666,0.79
16346.0,"GDFMX",8.101095274096684e-06,360.5882768972223,0.8
16346.0,"GDFMX",8.101095274096684e-06,371.5118819720082,0.81
16346.0,"GDFMX",8.101095274096684e-06,382.5860766896907,0.8200000000000001
16346.0,"GDFMX",8.101095274096684e-06,393.8107859246498,0.8300000000000001
16346.0,"GDFMX",8.101095274096684e-06,405.18594110297767,0.8400000000000001
16346.0,"GDFMX",8.101095274096684e-06,416.71147792582417,0.8500000000000001
16346.0,"GDFMX",8.101095274096684e-06,428.38733433469173,0.8600000000000001
16346.0,"GDFMX",8.101095274096684e-06,440.2134487055489,0.8700000000000001
16346.0,"GDFMX",8.101095274096684e-06,452.189758258364,0.88
16346.0,"GDFMX",8.101095274096684e-06,464.3161976685424,0.89
16346.0,"GDFMX",8.101095274096684e-06,476.5926978668068,0.9
16346.0,"GDFMX",8.101095274096684e-06,489.019185014267,0.91
16346.0,"GDFMX",8.101095274096684e-06,501.5955796396814,0.92
16346.0,"GDFMX",8.101095274096684e-06,514.3217959263112,0.93
16346.0,"GDFMX",8.101095274096684e-06,527.1977411361856,0.94
16346.0,"GDFMX",8.101095274096684e-06,540.2233151600753,0.95
16346.0,"GDFMX",8.101095274096684e-06,553.3984101819815,0.96
16346.0,"GDFMX",8.101095274096684e-06,566.7229104475049,0.97
16346.0,"GDFMX",8.101095274096684e-06,580.1966921259796,0.98
16346.0,"GDFMX",8.101095274096684e-06,593.8196232568325,0.99
16346.0,"GDFMX",8.101095274096684e-06,607.591563771181,1.0
16346.0,"GDFMX",8.101095274096684e-06,621.5123655802523,1.01
16346.0,"GDFMX",8.101095274096684e-06,635.5818727226914,1.02
16346.0,"GDFMX",8.101095274096684e-06,649.7999215634477,1.03
16346.0,"GDFMX",8.101095274096684e-06,664.1663410373608,1.04
16346.0,"GDFMX",8.101095274096684e-06,678.6809529311073,1.05
16346.0,"GDFMX",8.101095274096684e-06,693.3435721976533,1.06
16346.0,"GDFMX",8.101095274096684e-06,708.1540072977864,1.07
16346.0,"GDFMX",8.101095274096684e-06,723.1120605637767,1.08
16346.0,"GDFMX",8.101095274096684e-06,738.2175285806084,1.09
16346.0,"GDFMX",8.101095274096684e-06,753.4702025806313,1.1
16346.0,"GDFMX",8.101095274096684e-06,768.8698688478673,1.11
16346.0,"GDFMX",8.101095274096684e-06,784.4163091285333,1.12
16346.0,"GDFMX",8.101095274096684e-06,800.109301044716,1.13
16346.0,"GDFMX",8.101095274096684e-06,815.9486185084132,1.14
16346.0,"GDFMX",8.101095274096684e-06,831.9340321334721,1.15
16346.0,"GDFMX",8.101095274096684e-06,848.06530964323,1.16
16346.0,"GDFMX",8.101095274096684e-06,864.3422162719039,1.1700000000000002
16346.0,"GDFMX",8.101095274096684e-06,880.7645151580382,1.1800000000000002
16346.0,"GDFMX",8.101095274096684e-06,897.3319677285235,1.1900000000000002
16346.0,"GDFMX",8.101095274096684e-06,914.044334071913,1.2
16346.0,"GDFMX",8.101095274096684e-06,930.9013732999558,1.21
16346.0,"GDFMX",8.101095274096684e-06,947.902843896444,1.22
16346.0,"GDFMX",8.101095274096684e-06,965.048504052616,1.23
16346.0,"GDFMX",8.101095274096684e-06,982.338111988528,1.24
16346.0,"GDFMX",8.101095274096684e-06,999.7714262599256,1.25
16346.0,"GDFMX",8.101095274096684e-06,1017.3482060502874,1.26
16346.0,"GDFMX",8.101095274096684e-06,1035.0682114477918,1.27
16346.0,"GDFMX",8.101095274096684e-06,1052.9312037070988,1.28
20231.0,"DDHy",1.7380914748675756e-05,0.1243708685986,0.06
20231.0,"DDHy",1.7380914748675756e-05,0.2018224571756,0.07
20231.0,"DDHy",1.7380914748675756e-05,0.3191672442666,0.08
20231.0,"DDHy",1.7380914748675756e-05,0.4815002439965,0.09
20231.0,"DDHy",1.7380914748675756e-05,0.6922425208287,0.1
20231.0,"DDHy",1.7380914748675756e-05,0.9537888740696,0.11
20231.0,"DDHy",1.7380914748675756e-05,1.2680592096387,0.12
20231.0,"DDHy",1.7380914748675756e-05,1.6368229029334,0.13
20231.0,"DDHy",1.7380914748675756e-05,2.0545698106646997,0.14
20231.0,"DDHy",1.7380914748675756e-05,2.5259992641326,0.15
20231.0,"DDHy",1.7380914748675756e-05,3.055769879577,0.16
20231.0,"DDHy",1.7380914748675756e-05,3.6477322100074,0.17
20231.0,"DDHy",1.7380914748675756e-05,4.3058571270898005,0.18
20231.0,"DDHy",1.7380914748675756e-05,5.0343796336214,0.19
20231.0,"DDHy",1.7380914748675756e-05,5.8378176037175,0.2
20231.0,"DDHy",1.7380914748675756e-05,6.7209493255726,0.21
20231.0,"DDHy",1.7380914748675756e-05,7.6887744815118,0.22
20231.0,"DDHy",1.7380914748675756e-05,8.7464684449586,0.23
20231.0,"DDHy",1.7380914748675756e-05,9.8993345175878,0.24
20231.0,"DDHy",1.7380914748675756e-05,11.1527564367171,0.25
20231.0,"DDHy",1.7380914748675756e-05,12.5121523682425,0.26
20231.0,"DDHy",1.7380914748675756e-05,13.982931035276401,0.27
20231.0,"DDHy",1.7380914748675756e-05,15.5704503487589,0.2799999999999999
20231.0,"DDHy",1.7380914748675756e-05,17.2799787718221,0.29
20231.0,"DDHy",1.7380914748675756e-05,19.1166595931435,0.3
20231.0,"DDHy",1.7380914748675756e-05,21.0854782649443,0.31
20231.0,"DDHy",1.7380914748675756e-05,23.1912329546583,0.32
20231.0,"DDHy",1.7380914748675756e-05,25.4385084517325,0.3299999999999999
20231.0,"DDHy",1.7380914748675756e-05,27.831653555246202,0.3399999999999999
20231.0,"DDHy",1.7380914748675756e-05,30.3747620409512,0.35
20231.0,"DDHy",1.7380914748675756e-05,33.0716572678296,0.36
20231.0,"DDHy",1.7380914748675756e-05,35.925880436083006,0.37
20231.0,"DDHy",1.7380914748675756e-05,38.9406824535287,0.38
20231.0,"DDHy",1.7380914748675756e-05,42.1190193092192,0.39
20231.0,"DDHy",1.7380914748675756e-05,45.4635507953545,0.3999999999999999
20231.0,"DDHy",1.7380914748675756e-05,48.9766423646568,0.41
20231.0,"DDHy",1.7380914748675756e-05,52.6603698631984,0.42
20231.0,"DDHy",1.7380914748675756e-05,56.516526840430004,0.43
20231.0,"DDHy",1.7380914748675756e-05,60.546634110291095,0.44
20231.0,"DDHy",1.7380914748675756e-05,64.75195122039639,0.45
20231.0,"DDHy",1.7380914748675756e-05,69.1334894803244,0.4599999999999999
20231.0,"DDHy",1.7380914748675756e-05,73.6920262042329,0.47
20231.0,"DDHy",1.7380914748675756e-05,78.4281198362139,0.48
20231.0,"DDHy",1.7380914748675756e-05,83.3421256474593,0.49
20231.0,"DDHy",1.7380914748675756e-05,88.4342117207245,0.5
20231.0,"DDHy",1.7380914748675756e-05,93.7043749680221,0.51
20231.0,"DDHy",1.7380914748675756e-05,99.1524569603551,0.52
20231.0,"DDHy",1.7380914748675756e-05,104.7781593819992,0.53
20231.0,"DDHy",1.7380914748675756e-05,110.5810589552304,0.54
20231.0,"DDHy",1.7380914748675756e-05,116.5606217133205,0.55
20231.0,"DDHy",1.7380914748675756e-05,122.7162165293822,0.56
20231.0,"DDHy",1.7380914748675756e-05,129.0471278356504,0.5700000000000001
20231.0,"DDHy",1.7380914748675756e-05,135.55256749175751,0.5800000000000001
20231.0,"DDHy",1.7380914748675756e-05,142.2316857812852,0.5900000000000001
20231.0,"DDHy",1.7380914748675756e-05,149.08358153345188,0.6000000000000001
20231.0,"DDHy",1.7380914748675756e-05,156.1073113812637,0.6100000000000001
20231.0,"DDHy",1.7380914748675756e-05,163.3018981790751,0.62
20231.0,"DDHy",1.7380914748675756e-05,170.6663386115238,0.63
20231.0,"DDHy",1.7380914748675756e-05,178.1996100324888,0.64
20231.0,"DDHy",1.7380914748675756e-05,185.90067657741469,0.65
20231.0,"DDHy",1.7380914748675756e-05,193.768494595321,0.66
20231.0,"DDHy",1.7380914748675756e-05,201.8020174483423,0.67
20231.0,"DDHy",1.7380914748675756e-05,210.00019972705311,0.68
20231.0,"DDHy",1.7380914748675756e-05,218.3620009292487,0.6900000000000001
20231.0,"DDHy",1.7380914748675756e-05,226.8863886486051,0.7000000000000001
20231.0,"DDHy",1.7380914748675756e-05,235.57234131782852,0.7100000000000001
20231.0,"DDHy",1.7380914748675756e-05,244.4188505486933,0.7200000000000001
20231.0,"DDHy",1.7380914748675756e-05,253.4249231089441,0.7300000000000001
20231.0,"DDHy",1.7380914748675756e-05,262.5895825733911,0.7400000000000001
20231.0,"DDHy",1.7380914748675756e-05,271.91187068389587,0.75
20231.0,"DDHy",1.7380914748675756e-05,281.3908484502289,0.76
20231.0,"DDHy",1.7380914748675756e-05,291.0255970211761,0.77
20231.0,"DDHy",1.7380914748675756e-05,300.8152183527199,0.78
20231.0,"DDHy",1.7380914748675756e-05,310.75883569769104,0.79
20231.0,"DDHy",1.7380914748675756e-05,320.8555939389964,0.8
20231.0,"DDHy",1.7380914748675756e-05,331.1046597863661,0.81
20231.0,"DDHy",1.7380914748675756e-05,341.50522185458385,0.8200000000000001
20231.0,"DDHy",1.7380914748675756e-05,352.0564906392684,0.8300000000000001
20231.0,"DDHy",1.7380914748675756e-05,362.75769840462976,0.8400000000000001
20231.0,"DDHy",1.7380914748675756e-05,373.6080989960084,0.8500000000000001
20231.0,"DDHy",1.7380914748675756e-05,384.6069675886253,0.8600000000000001
20231.0,"DDHy",1.7380914748675756e-05,395.7536003826558,0.8700000000000001
20231.0,"DDHy",1.7380914748675756e-05,407.04731425359233,0.88
20231.0,"DDHy",1.7380914748675756e-05,418.48744636579335,0.89
20231.0,"DDHy",1.7380914748675756e-05,430.073353756171,0.9
20231.0,"DDHy",1.7380914748675756e-05,441.8044128941297,0.91
20231.0,"DDHy",1.7380914748675756e-05,453.680019223102,0.92
20231.0,"DDHy",1.7380914748675756e-05,465.69958668833686,0.93
20231.0,"DDHy",1.7380914748675756e-05,477.8625472550072,0.94
20231.0,"DDHy",1.7380914748675756e-05,490.1683504201569,0.95
20231.0,"DDHy",1.7380914748675756e-05,502.6164627215235,0.96
20231.0,"DDHy",1.7380914748675756e-05,515.2063672458603,0.97
20231.0,"DDHy",1.7380914748675756e-05,527.9375631389853,0.98
20231.0,"DDHy",1.7380914748675756e-05,540.8095651194816,0.99
20231.0,"DDHy",1.7380914748675756e-05,553.8219029976534,1.0
20231.0,"DDHy",1.7380914748675756e-05,566.9741212010899,1.01
20231.0,"DDHy",1.7380914748675756e-05,580.2657783079926,1.02
20231.0,"DDHy",1.7380914748675756e-05,593.6964465891548,1.03
20231.0,"DDHy",1.7380914748675756e-05,607.2657115593912,1.04
20231.0,"DDHy",1.7380914748675756e-05,620.9731715390006,1.05
20231.0,"DDHy",1.7380914748675756e-05,634.8184372257325,1.06
20231.0,"DDHy",1.7380914748675756e-05,648.801131277615,1.07
20231.0,"DDHy",1.7380914748675756e-05,662.9208879069041,1.08
20231.0,"DDHy",1.7380914748675756e-05,677.1773524853189,1.09
20231.0,"DDHy",1.7380914748675756e-05,691.5701811606489,1.1
20231.0,"DDHy",1.7380914748675756e-05,706.0990404847665,1.11
20231.0,"DDHy",1.7380914748675756e-05,720.7636070530303,1.12
20231.0,"DDHy",1.7380914748675756e-05,735.563567154966,1.13
20231.0,"DDHy",1.7380914748675756e-05,750.498616436175,1.14
20231.0,"DDHy",1.7380914748675756e-05,765.5684595712515,1.15
20231.0,"DDHy",1.7380914748675756e-05,780.7728099475837,1.16
20231.0,"DDHy",1.7380914748675756e-05,796.1113893598291,1.1700000000000002
20231.0,"DDHy",1.7380914748675756e-05,811.583927714823,1.1800000000000002
20231.0,"DDHy",1.7380914748675756e-05,827.1901627467269,1.1900000000000002
20231.0,"DDHy",1.7380914748675756e-05,842.9298397421402,1.2
20231.0,"DDHy",1.7380914748675756e-05,858.8027112749306,1.21
20231.0,"DDHy",1.7380914748675756e-05,874.8085369505413,1.22
20231.0,"DDHy",1.7380914748675756e-05,890.9470831594753,1.23
